coef_lz_zscore,coef_lz_shuff_zscore,lz_zscore-lz_shuff_zscore
-0.26757653165808776,0.043458182976389516,-0.3110347146344773
-0.2407611771211139,0.054989628767168314,-0.2957508058882822
-0.3183245155797146,-0.03192967703440921,-0.2863948385453054
-0.30401301174938117,-0.029206285420032795,-0.2748067263293484
-0.23444527315664576,0.044590446189054826,-0.2790357193457006
-0.34411572319021416,0.00599058802117423,-0.3501063112113884
-0.2400765703204109,0.022347150869459893,-0.2624237211898708
-0.24579751226828825,-0.01957905340416109,-0.22621845886412717
-0.29293959200756003,0.03695247443626582,-0.32989206644382585
-0.2398459674278785,-0.027431768549791014,-0.2124141988780875
-0.23688676216603857,0.030142347253338583,-0.26702910941937713
-0.28903803827746843,0.03979148104057965,-0.3288295193180481
-0.2310165745525002,-0.0047430123748157605,-0.22627356217768443
-0.23408857142483389,0.02147510651391086,-0.25556367793874474
-0.279505022757068,-0.017496846659512576,-0.26200817609755545
-0.22860925604607607,-0.05831902179750131,-0.17029023424857476
-0.3151503238655921,0.09261339203508079,-0.4077637159006729
-0.27305067066332567,0.007824897190663567,-0.28087556785398926
-0.3311045669018466,0.025866494878309148,-0.35697106178015575
-0.23245950306759267,0.023512980068469802,-0.25597248313606247
-0.3522383547756291,-0.0650655736230065,-0.28717278115262257
-0.24686595061915917,0.01695780693737555,-0.2638237575565347
-0.2710376393746513,-0.03859103498220512,-0.2324466043924462
-0.2632965972277551,-0.005672769346168678,-0.25762382788158644
-0.27044266359158087,0.0475790283851905,-0.3180216919767714
-0.23742555054403677,0.018907654483794754,-0.2563332050278315
-0.23880617203649226,-0.014354063649281792,-0.22445210838721047
-0.2612618639603716,-0.00037609158490151427,-0.26088577237547006
-0.24233812007435201,0.05817456637482501,-0.300512686449177
-0.2857557514792005,-0.0015290587787827332,-0.2842266927004178
-0.24432244563351246,-0.009175597721947037,-0.23514684791156543
-0.25355560264810245,-0.03209691605561972,-0.22145868659248275
-0.29220981823066244,-0.0031612480706241838,-0.28904857016003827
-0.22013248256299542,0.024047674498966894,-0.2441801570619623
-0.2643037179389692,0.026036205237655298,-0.2903399231766245
-0.29863316253189087,0.024852359975197986,-0.32348552250708884
-0.25641953677363355,-0.00010026747131075191,-0.2563192693023228
-0.34512178602697263,0.05365239070124469,-0.3987741767282173
-0.25402399690286986,0.005264177678482324,-0.25928817458135217
-0.3277004430759842,0.03106208112435387,-0.3587625242003381
-0.30795457137449966,-0.04625217305614462,-0.26170239831835507
-0.2880166593803596,-0.030899194830546692,-0.2571174645498129
-0.315486840692722,-0.01746829651357516,-0.2980185441791468
-0.2383406967485501,-0.05521971594851536,-0.18312098080003475
-0.24201854849350526,0.01975081624763102,-0.26176936474113627
-0.24738397011645707,-0.018148412949265932,-0.22923555716719113
-0.23069199797189896,0.003669847780223951,-0.2343618457521229
-0.27470271830310206,0.02540999523543516,-0.3001127135385372
-0.257093327626162,-0.012774750810642756,-0.24431857681551924
-0.24977294397285033,0.046051151783738586,-0.2958240957565889
-0.23193119784492114,0.02340294149686158,-0.25533413934178273
-0.2590834241034366,0.030714025254847385,-0.289797449358284
-0.25694391873788885,-0.025837061603622993,-0.23110685713426588
-0.2507744844945886,-0.006696637885754487,-0.24407784660883414
-0.3331856134359212,0.021256539626113836,-0.354442153062035
-0.2737437864984096,0.05961015213470021,-0.3333539386331098
-0.28598053439835186,-0.03667320723836404,-0.24930732715998782
-0.275888454045744,-0.04847898255379652,-0.2274094714919475
-0.28740735694665875,0.04504148612971366,-0.3324488430763724
-0.2942583356263201,0.024292617773979553,-0.31855095340029965
-0.2454749137255975,-0.009237146182272815,-0.23623776754332468
-0.2981713938040616,-0.025659575805005108,-0.2725118179990565
-0.27064753945962083,-0.03328028848364917,-0.23736725097597167
