coef_lz_zscore,coef_lz_shuff_zscore,lz_zscore-lz_shuff_zscore
-0.014955433305107168,-0.01903968487210692,0.0040842515669997515
0.004259289364087201,-0.010507004328267334,0.014766293692354535
-0.056458587230095926,0.006147689914321345,-0.06260627714441727
-0.09067338998243722,-0.04084262817854736,-0.04983076180388986
-0.05094110497130061,-0.0049420655543339674,-0.04599903941696664
-0.10582553344414905,-0.02809162776198011,-0.07773390568216894
-0.0543952614135816,0.001231942095350044,-0.05562720350893165
-0.09335628218083343,-0.006064644656830418,-0.08729163752400301
-0.07917547987148098,-0.0523237896640184,-0.02685169020746258
-0.06790836087016651,0.03199954049606654,-0.09990790136623305
-0.08749155352428666,0.03643322942618609,-0.12392478295047274
-0.1153438240622875,0.04801986850558508,-0.1633636925678726
-0.08857935618417975,0.020732878160465953,-0.10931223434464571
-0.025305272963271314,0.016202157173129204,-0.041507430136400514
-0.053127713453219615,0.02412799088035616,-0.07725570433357577
-0.053480704158880316,0.008771355597236774,-0.06225205975611709
-0.0550280228474245,0.03578609571704853,-0.09081411856447302
-0.11022969327509652,-0.001651669281654069,-0.10857802399344245
-0.13018800951501183,0.04954116605839296,-0.1797291755734048
-0.09690812375063002,0.011989350766288025,-0.10889747451691804
-0.07278049674599037,-0.02371534817280492,-0.049065148573185446
-0.04514544499827038,-0.018878861572759226,-0.026266583425511157
-0.05711483884392651,-0.039506887374119865,-0.01760795146980665
-0.02625872447198688,-0.06644929360525735,0.04019056913327047
-0.05227991042375664,-0.011189061924920966,-0.04109084849883567
-0.07126507462082733,0.038352238097121676,-0.109617312717949
-0.05793473369523063,0.005049981083500397,-0.06298471477873104
-0.11373008431072532,0.0011933007918059106,-0.11492338510253122
-0.10463129142030106,0.004252790411769674,-0.10888408183207074
-0.04727069447561622,0.021430375134210256,-0.06870106960982647
-0.0797063859899598,0.014002762134914548,-0.09370914812487435
-0.06236976257328016,0.002491546149347886,-0.06486130872262805
-0.13116251633427561,0.003965804888560271,-0.13512832122283588
-0.03317013726923329,0.004543073159716485,-0.037713210428949775
-0.04302036438586498,0.0258442500856617,-0.06886461447152667
-0.05769502683901323,0.02408527394462019,-0.08178030078363342
-0.07152570427779069,-0.013925621038808686,-0.057600083238982004
-0.07955897273495185,0.0016016301522099906,-0.08116060288716184
-0.08997612390837409,0.05521420408457496,-0.14519032799294906
-0.006838181666022212,-0.04132040491573494,0.03448222324971273
-0.05417381402525601,-0.012432079364053621,-0.041741734661202394
-0.05347727867295143,0.029941594911420847,-0.08341887358437228
-0.08806884744472156,0.042369955620125424,-0.13043880306484698
-0.08560596827335018,0.0387652448819132,-0.12437121315526338
-0.05760324364854989,0.07455817860198292,-0.13216142225053282
-0.01309457551396197,0.005580661470636328,-0.0186752369845983
-0.07486409053437687,-0.003448620340764669,-0.0714154701936122
-0.10324409074708259,0.04122709313390176,-0.14447118388098434
-0.11935556419644988,0.02278461411942925,-0.14214017831587913
-0.03394000198712171,0.05246034009976217,-0.08640034208688388
-0.05650342984865578,0.013622354482964543,-0.07012578433162032
-0.07018190266548756,0.025053848187629832,-0.09523575085311739
-0.05543663782989674,0.04512008689388818,-0.10055672472378492
-0.03084347839876927,-0.04477817426439531,0.013934695865626037
-0.05914338898859675,-0.0596139126066181,0.00047052361802134984
-0.06625968787288965,-0.01668262414938491,-0.04957706372350473
-0.031856616468267894,0.004238156832794839,-0.036094773301062734
-0.046554559714777045,0.04009892953555714,-0.08665348925033418
-0.020145915305771964,-0.06849892968599995,0.04835301438022799
-0.03859786275044305,0.05825241307606155,-0.0968502758265046
-0.07406578581671444,0.04941229934432862,-0.12347808516104306
-0.10564930463049654,-0.03102262420381255,-0.074626680426684
-0.09486002051755216,0.0353048042579273,-0.13016482477547947
-0.04919600086801284,-0.005317035376937149,-0.043878965491075686
-0.07487437306066336,-0.009138728721609183,-0.06573564433905417
-0.0946560984992583,0.04829850697950059,-0.14295460547875888
-0.0814974462470252,0.040478009976589166,-0.12197545622361436
-0.09652166917437521,0.03599142518293722,-0.13251309435731243
-0.047184040513251875,0.0043268477599061215,-0.051510888273157994
-0.03991038688113633,-0.023682216480370284,-0.016228170400766045
-0.07924266434062158,0.0011278239496717497,-0.08037048829029332
-0.09858694746310438,-0.026428702463896853,-0.07215824499920753
-0.04637539739060759,0.021147417596344045,-0.06752281498695163
-0.1353512550813736,-0.028149148805966265,-0.10720210627540734
-0.05848201795396995,-0.047773397540027365,-0.010708620413942584
-0.05602328067463281,-0.014705877788657389,-0.04131740288597542
-0.021954647518173907,0.015264233823324059,-0.037218881341497964
-0.10254390349500901,0.0011183568490920604,-0.10366226034410107
-0.07880647967122278,0.07449499613321035,-0.15330147580443315
-0.04557016283476965,0.008567622838325626,-0.054137785673095275
-0.07232709207427526,-0.005004175515752295,-0.06732291655852296
-0.05133219602399047,-0.00628931688485545,-0.045042879139135024
-0.03741575031703165,0.013235000593004167,-0.05065075091003582
-0.11645377176479091,-0.016841548496200384,-0.09961222326859052
-0.1091060068787734,-0.006886061669323094,-0.10221994520945031
-0.07629232523135904,-0.02989805527419293,-0.04639426995716611
-0.039984963263806024,0.007335230749753122,-0.04732019401355915
-0.07775816636201065,0.011089468093636869,-0.08884763445564751
-0.11749963653952562,0.02998141115119351,-0.14748104769071912
0.006721973999955214,-0.0351780517113673,0.041900025711322515
-0.048769680157696,-0.030704741062088824,-0.018064939095607174
-0.10202091001545725,0.007740328962697004,-0.10976123897815426
-0.07398381021289348,-0.0015870037332052836,-0.0723968064796882
0.00600412950363993,0.0019805102943632876,0.004023619209276642
-0.07916707123478033,0.00840198504755162,-0.08756905628233194
-0.06651299102711897,0.020938480602500788,-0.08745147162961975
-0.0325137005227314,0.061709452159522005,-0.0942231526822534
-0.0924287539547688,0.003120426861296507,-0.0955491808160653
-0.05804931199677296,-0.03218250466521947,-0.02586680733155349
-0.07203396587096074,0.05249320773017259,-0.12452717360113333
-0.040055075678026936,-0.039838214334156345,-0.00021686134387059047
-0.0764639316300746,0.03526754427967824,-0.11173147590975284
-0.08601560038834483,0.022561510941517177,-0.108577111329862
-0.04344642075038031,0.034488524593387915,-0.07793494534376823
-0.11080369865718326,-0.022984714675831505,-0.08781898398135175
-0.12099272284578196,-0.0043355078333800765,-0.11665721501240188
-0.07689787981136907,-0.03870749697850668,-0.03819038283286239
-0.10854409250766696,-0.0015680812864013144,-0.10697601122126564
-0.0499214471993046,0.0025325353037316816,-0.05245398250303628
-0.08618067604465,-0.04486023643402337,-0.04132043961062663
