coef_ml_zscore,coef_ml_shuff_zscore,ml_zscore-ml_shuff_zscore
-0.45136287495719923,-0.049220922446163586,-0.4021419525110356
-0.4340220523625764,0.007179855731479506,-0.4412019080940559
-0.4069335743833242,0.08948238671503275,-0.49641596109835695
-0.4463793268026713,0.05352931176636776,-0.49990863856903905
-0.44674049956803075,0.026277640972976656,-0.4730181405410074
-0.5099699739089683,-0.024374392746019193,-0.48559558116294904
-0.4246886220081947,0.007927086400349132,-0.4326157084085438
-0.40927238974631064,0.11037568021336817,-0.5196480699596788
-0.4518288316112339,0.046587258850177435,-0.49841609046141133
-0.46923252330793086,-0.004910797394533592,-0.46432172591339727
-0.45097459800985057,0.16328222898805722,-0.6142568269979078
-0.4945299588347093,-0.07882984519684354,-0.41570011363786574
-0.4081597832416131,0.05120973580771813,-0.45936951904933127
-0.45753252528364863,-0.052440687717184784,-0.40509183756646383
-0.5322403190711823,0.04507343713566199,-0.5773137562068443
-0.4444696360798359,0.008145211809895051,-0.45261484788973094
-0.43123619471377,-0.07401922986620714,-0.3572169648475629
-0.47278923150607005,-0.008648291441084838,-0.4641409400649852
-0.46400736483887794,-0.06503355857924019,-0.39897380625963774
-0.5167039098675391,-0.03827241682390138,-0.47843149304363775
-0.5331066803228052,-0.0179179291157628,-0.5151887512070423
-0.49943319376067624,0.00014332276069484382,-0.4995765165213711
-0.5336736260013363,0.0194807587404583,-0.5531543847417946
-0.4703559777389717,-0.11000672390187806,-0.36034925383709365
-0.49432105449200847,-0.07698215728687409,-0.4173388972051344
-0.45219900405695973,0.03701117543552571,-0.48921017949248546
-0.49723659649836804,-0.06039920856729427,-0.4368373879310738
-0.461645058545696,0.05110728695269321,-0.5127523454983892
-0.4648782349430934,0.020635136942920133,-0.4855133718860135
-0.42822678219431465,-0.034950444794801486,-0.3932763373995132
-0.5249393923064851,0.01762978584286215,-0.5425691781493472
-0.5234031116217817,-0.11802666365402133,-0.40537644796776034
-0.5320413084094475,-0.005054156178229251,-0.5269871522312183
-0.5096078505873665,-0.07655802782200295,-0.4330498227653635
-0.4880634088172106,0.0880118089242092,-0.5760752177414198
-0.4217050381355423,-0.07779669742012603,-0.34390834071541626
-0.472599125871612,-0.051253492375138335,-0.4213456334964737
-0.503188706033444,-0.03836020458626345,-0.4648285014471806
-0.4461058007916077,0.09426177342051864,-0.5403675742121263
-0.4373737147169249,-0.09625168139076772,-0.34112203332615715
-0.4744314965129586,0.014499766303590534,-0.4889312628165491
-0.43494179368263614,0.06450123726443552,-0.49944303094707165
-0.4443874009205748,-0.009701806430977813,-0.43468559448959704
-0.47062682536303235,0.04657085768591368,-0.517197683048946
-0.465044113973001,0.049145826403775045,-0.514189940376776
-0.5072461340131709,0.15535520184192744,-0.6626013358550983
-0.5205334535733337,0.0014706371275710704,-0.5220040907009048
-0.4929661120757066,-0.002453165626546362,-0.49051294644916027
-0.43456572354491285,0.006565011827849395,-0.44113073537276226
-0.4938001052703738,-0.1145294413324468,-0.379270663937927
-0.4860843712676091,0.0730995181622884,-0.5591838894298975
-0.4033722585741697,0.05659415187247907,-0.45996641044664877
-0.42047109847485503,-0.04415202302336393,-0.3763190754514911
-0.4583689016853523,-0.01599884258777315,-0.4423700590975792
-0.46732708626499286,0.0514548560003179,-0.5187819422653107
-0.5063643045212775,-0.027938353363764913,-0.4784259511575125
-0.4805024783929763,-0.00479925635160845,-0.47570322204136783
-0.5148559964628485,0.005021452828249704,-0.5198774492910982
-0.5135044946019122,-0.05677634018725407,-0.4567281544146581
-0.4231044053990395,-0.03415732357784573,-0.38894708182119375
-0.47689964490325804,0.017312172001553373,-0.4942118169048114
-0.37607334676694787,-0.014551126231017288,-0.3615222205359306
-0.45840038486911666,0.06859680804731723,-0.5269971929164339
-0.5080097153533284,0.03596020621578603,-0.5439699215691144
-0.480788111332861,0.003160719630324561,-0.48394883096318553
-0.5269877376651667,0.05983905846647058,-0.5868267961316372
-0.46225153329691143,-0.013425263651945216,-0.4488262696449662
-0.4494545208666631,-0.0891592861172721,-0.360295234749391
-0.4096071530988752,-0.009115694127674358,-0.4004914589712008
-0.4954822501757796,0.017868192746907628,-0.5133504429226873
-0.4897787905665706,-0.06019274960844918,-0.4295860409581214
-0.5147384855785032,-0.004994969236978374,-0.5097435163415248
-0.4862342491865686,-0.0736892416027467,-0.4125450075838219
-0.41178516516729047,0.02827000406847721,-0.4400551692357677
-0.4234610742040048,0.03615486258020966,-0.4596159367842145
-0.42182770060740726,0.01752997273555795,-0.4393576733429652
-0.46918066624169763,0.0430826069291551,-0.5122632731708527
-0.5001072381885379,-0.035251651806191144,-0.4648555863823467
