coef_lz_mean_zscore,coef_lz_mean_shuff_zscore,lz_mean_zscore-lz_mean_shuff_zscore
-0.34109901333965703,0.05141194024631749,-0.39251095358597454
-0.30445765524889823,0.0012977514420792246,-0.30575540669097745
-0.3019722938279771,0.024364874258550197,-0.3263371680865273
-0.3801518713790761,0.027051067277460466,-0.40720293865653656
-0.3429606025109277,-0.05219494741220171,-0.290765655098726
-0.2470010863599859,0.022726173232405653,-0.2697272595923916
-0.3340614831079193,-0.0001844545957207775,-0.3338770285121985
-0.3140859939812971,-0.004061131198070836,-0.3100248627832263
-0.369850456822953,0.03728390060441255,-0.40713435742736553
-0.36299388207534883,0.017414646535423208,-0.380408528610772
-0.32609568317581306,0.07109575458992631,-0.3971914377657394
-0.2838098577887867,-0.05570970264723583,-0.22810015514155088
-0.34544787917007064,0.03122440367404339,-0.376672282844114
-0.36898140981729843,-0.027347314115757467,-0.34163409570154096
-0.3128644762169317,0.01967370198957722,-0.33253817820650894
-0.3304442390471722,0.011196868325755758,-0.34164110737292797
-0.33723116832498307,-0.06661140265126854,-0.27061976567371454
-0.444922081358865,-0.04551843614800866,-0.39940364521085636
-0.3002932093824997,-0.042078516301542065,-0.2582146930809576
-0.2925094399396884,-0.022575910071849562,-0.26993352986783886
-0.31782228273005786,-0.06346384736124068,-0.2543584353688172
-0.28344265434898885,0.00024199727821137156,-0.28368465162720025
-0.365899149691557,0.036761223791471835,-0.40266037348302886
-0.29114674402066854,-0.019959090656229292,-0.27118765336443923
-0.32640175033911256,0.07668369882692755,-0.4030854491660401
-0.3761809926932564,-0.016281061413549732,-0.35989993127970665
-0.29005478892938347,-0.0019720771736833212,-0.28808271175570016
-0.3053640041335642,0.011862673073099203,-0.31722667720666337
-0.3085479427716244,-0.001722413360346162,-0.3068255294112782
-0.3540414583597416,0.02996383512271895,-0.38400529348246054
-0.322410729268842,0.012382814119476537,-0.33479354338831857
-0.29822195555765607,0.04114151310886388,-0.33936346866651995
-0.3241938781952178,0.022112476530128218,-0.346306354725346
-0.2769735859551721,-0.06077373101402656,-0.21619985494114552
-0.3258918634992541,0.013558670473084525,-0.3394505339723386
-0.3585376175749324,0.002959376706806241,-0.36149699428173865
-0.30203499904929537,-0.00022669829182887915,-0.3018083007574665
-0.3428498665131004,0.012687278815638855,-0.35553714532873926
-0.30442690947045187,0.04841867962921229,-0.3528455890996642
-0.3183196547413705,-0.042831877485049644,-0.27548777725632084
-0.29448587667474996,0.02847739623987524,-0.3229632729146252
-0.3517900446191076,-0.03823975257977501,-0.3135502920393326
-0.3197070038304034,0.00699021393853504,-0.32669721776893845
-0.303784030666687,-0.02733112171698089,-0.27645290894970614
-0.3646756382047175,0.056015837550618376,-0.4206914757553359
-0.33968637168657634,-0.03387102035667507,-0.3058153513299013
-0.43010959078898237,-0.0011718646482527266,-0.4289377261407296
-0.3060346451974638,0.0018859578546632,-0.30792060305212704
-0.31044342750967985,-0.048354165086072945,-0.2620892624236069
-0.37795057184990416,-0.04223026369538591,-0.33572030815451825
-0.3268274115794117,-0.007098222404519706,-0.319729189174892
-0.29551368792746585,0.02991324984479304,-0.3254269377722589
-0.3193372316057958,0.006927916253012804,-0.3262651478588086
-0.31856909380233656,-0.005665546502009761,-0.31290354730032677
-0.21779821938763944,-0.02975604915755366,-0.18804217023008576
-0.3307815977326207,-0.02346510572246563,-0.3073164920101551
-0.328997275842722,-0.048376393114425195,-0.28062088272829677
-0.28482708512217614,-0.020780518143922524,-0.2640465669782536
-0.31609888890409876,-0.03604407989511045,-0.2800548090089883
-0.35177825210725067,-0.017559319637013796,-0.3342189324702369
-0.35085665634798063,-0.020608699362552087,-0.3302479569854285
-0.22451046484113277,-0.050161922611921254,-0.1743485422292115
-0.3635026845638124,0.03394908324497156,-0.397451767808784
-0.28874860685482434,-0.022552797566284304,-0.26619580928854003
-0.30126115100158324,0.04489293355608254,-0.3461540845576658
-0.3107538224517277,0.01345505331026984,-0.3242088757619976
-0.34922123217637785,0.09743630051383519,-0.446657532690213
-0.30889308251246994,-0.024850911227534484,-0.2840421712849355
-0.27524534716008936,-0.005847143844228039,-0.26939820331586134
-0.3141863476045954,-0.048611478636543456,-0.26557486896805194
-0.3253508648797758,0.01044102854635787,-0.3357918934261337
-0.3130734983983908,0.007976881024032918,-0.32105037942242376
-0.333574302314691,0.0010665857992012376,-0.3346408881138922
-0.295683071543507,-0.020868126211896383,-0.2748149453316106
-0.27186165173098203,0.02880557484333533,-0.3006672265743174
-0.2793694237389232,0.03967310582018462,-0.31904252955910783
-0.355415437974989,0.00982517632666857,-0.36524061430165755
-0.2984142110446238,0.00648315774667699,-0.3048973687913008
-0.30745677154224993,0.030548672498066903,-0.33800544404031685
-0.31025342887996105,-0.0054644475972593885,-0.30478898128270165
-0.30789361604976623,0.014148718734466756,-0.322042334784233
-0.34256711020990244,0.01000092888094942,-0.3525680390908519
-0.28399961267919394,0.06224329291998077,-0.3462429055991747
-0.2885376461944575,-0.017373504058106736,-0.27116414213635076
-0.2946997624026474,0.05218029383653978,-0.34688005623918716
-0.30544210263508753,-0.013365240622607159,-0.2920768620124804
-0.33775160652366637,0.027525313251122306,-0.36527691977478866
-0.3170198320148911,0.010901229548411571,-0.32792106156330264
-0.32433263139569574,-0.010436332977948748,-0.31389629841774697
-0.29572264786595226,0.042287073173061955,-0.3380097210390142
-0.2820008230079411,0.008076100071969959,-0.29007692307991106
-0.36792207140280114,-0.010708146906651228,-0.3572139244961499
-0.2980626442179387,0.028345308083793926,-0.32640795230173264
-0.37691089443438447,0.00559533826241055,-0.382506232696795
-0.31617047283407335,0.02484847868531007,-0.34101895151938344
-0.32497495882308886,0.02250079060878035,-0.3474757494318692
-0.3368791782812092,-0.05395489224475826,-0.282924286036451
-0.3409916182576718,-0.020895940058883046,-0.32009567819878876
-0.312692807566258,0.05578246255567687,-0.3684752701219349
-0.328064771576177,-0.01699991991055395,-0.31106485166562303
-0.3450088616932144,-0.02859193740671341,-0.316416924286501
-0.3149844453130221,0.021770781686252946,-0.33675522699927507
-0.2911624499343062,0.043731239395006914,-0.33489368932931307
-0.3344015676918016,0.00804153068434819,-0.34244309837614983
-0.3244822142592134,-0.01926881643582014,-0.3052133978233933
-0.27735828636249443,0.01470939476584553,-0.29206768112834
-0.27746309847430745,0.06778139324986657,-0.34524449172417404
-0.2647086580694788,0.014738098306558294,-0.2794467563760371
-0.33839971279290293,0.04156439002942563,-0.37996410282232856
-0.3541881451955575,0.04500921362154722,-0.3991973588171047
-0.3377750396898153,-0.023218626225771182,-0.3145564134640441
-0.3145604273033138,-0.0640449723727946,-0.2505154549305192
-0.28940401755343265,0.0380764202424807,-0.32748043779591335
-0.349526981892479,0.06950838599292695,-0.41903536788540596
-0.3123876198884323,0.05508427390064387,-0.36747189378907613
-0.33884825233288796,-0.046367820031400726,-0.29248043230148724
-0.3167708625456255,-0.03913841622380389,-0.2776324463218216
-0.2537979745091243,0.014805583820012704,-0.26860355832913696
-0.3996834196721077,-0.04833436715206008,-0.3513490525200476
-0.407152071361524,6.012864071656992e-05,-0.40721220000224057
-0.26000051628673954,-0.040518007749177826,-0.2194825085375617
-0.35917852308040277,-0.02526569853805421,-0.33391282454234855
-0.33397000773248386,-0.0244502132965641,-0.30951979443591976
-0.3581041955896733,0.052264408315131655,-0.410368603904805
-0.36037917358433036,0.034281584976435214,-0.39466075856076555
-0.34530508031588164,-0.04199397584751149,-0.3033111044683702
-0.34529962342774184,0.007943912923835516,-0.35324353635157735
-0.3506885377251002,0.011834714106536819,-0.36252325183163703
-0.34895212665163294,-0.030448162884769134,-0.3185039637668638
-0.2652805968491381,-0.02136140586773797,-0.2439191909814001
-0.34706956990174737,0.07374850713380242,-0.4208180770355498
-0.29651420409967905,0.01723973535784746,-0.3137539394575265
-0.37174026389348,-0.004138528832284861,-0.36760173506119515
-0.33412471561593693,0.035328162965643534,-0.3694528785815805
-0.2981001445742173,0.01672302529976158,-0.31482316987397885
-0.32045192294471975,0.046074866909601074,-0.3665267898543208
-0.3521652783925906,0.02405762252751988,-0.37622290092011046
-0.2866352941667467,0.049358485105171296,-0.335993779271918
-0.3590123414442167,-0.0013306176515032473,-0.3576817237927134
-0.3049240124485665,0.05722671090281806,-0.36215072335138454
-0.2825334928860413,-0.05886902598346243,-0.22366446690257885
-0.33087040610343066,0.013783528711734586,-0.34465393481516526
-0.32055471201314373,0.017243024603771095,-0.3377977366169148
-0.30971505554030127,-0.011788591470706824,-0.29792646406959444
-0.332988223201049,-0.03425055088330681,-0.2987376723177422
-0.3813189183165203,0.02627238052341895,-0.4075912988399393
-0.25953886883294547,0.031202136008224073,-0.29074100484116955
-0.32878509839978276,-0.0016611926174320796,-0.3271239057823507
-0.3411907474387959,-0.029970474263863425,-0.3112202731749325
-0.3215184635040969,-0.06370762375678905,-0.25781083974730784
-0.34350864929415004,-0.022056091993255457,-0.32145255730089456
-0.3180964188755912,0.040959546221564884,-0.3590559650971561
-0.2715764727982471,-0.020577763985793557,-0.25099870881245356
-0.33264653061638133,0.037312142693227794,-0.36995867330960913
-0.3071657491583524,0.010223751971663501,-0.31738950113001585
-0.24838792865852963,-0.004806787006218728,-0.2435811416523109
-0.2884554772840507,-0.029795205021300616,-0.25866027226275007
-0.30150121212394404,-0.009001710723971457,-0.2924995013999726
-0.37319599907534595,0.020489268042498093,-0.393685267117844
-0.3008600880837804,0.04321540244072955,-0.3440754905245099
-0.3311980882203799,0.05263671280009169,-0.38383480102047157
-0.32027294807291995,0.032643509188999484,-0.35291645726191945
-0.26028813068854756,-0.026298345489662228,-0.23398978519888533
-0.25481298467528246,-0.011312014769953317,-0.24350096990532916
-0.29291715084433717,0.032413501825075734,-0.3253306526694129
-0.3080436291659411,0.005683716126408242,-0.3137273452923493
-0.26988429959192206,0.04938579212402487,-0.31927009171594695
-0.30092984531736633,-0.0023915888641879504,-0.2985382564531784
-0.31098441149898176,0.052385323102298924,-0.3633697346012807
-0.31131789316274083,0.005217390736369486,-0.31653528389911034
-0.24321133989665134,0.0166778044535368,-0.2598891443501881
-0.3494348414731369,0.0005541545578596293,-0.34998899603099654
-0.3033896760880131,-0.004440742641770657,-0.29894893344624246
-0.3262757840518008,0.014270475109208793,-0.3405462591610096
-0.37109619425659773,-0.04985925557943537,-0.32123693867716235
-0.2872421080779931,0.02745078469255318,-0.3146928927705463
-0.2836560551589887,0.0675699315257681,-0.3512259866847568
-0.33152067091863835,-0.03199371482415287,-0.2995269560944855
-0.34063527452878917,-0.010355048843556645,-0.3302802256852325
-0.22396808020853043,-0.0343073123171321,-0.18966076789139832
-0.3118068895538477,-0.04396884264741818,-0.26783804690642954
-0.33940879880021213,-0.05269046864969757,-0.28671833015051457
-0.30229935580850614,0.033380635992011236,-0.3356799918005174
-0.31968517622656123,0.04855599352244583,-0.36824116974900706
-0.3367470724801546,-6.0545489977872956e-05,-0.33668652699017676
-0.2593835562618329,-0.0009593973975215079,-0.2584241588643114
-0.3461029280814668,0.00797621552852377,-0.3540791436099906
-0.27679836340778385,0.028895748848518688,-0.30569411225630255
-0.27095207097298607,-0.04508559927195905,-0.22586647170102703
-0.3219023278008426,-0.0334448403481969,-0.2884574874526457
-0.32441382882007863,-0.021373989900997405,-0.3030398389190812
